java-diff-utils,CNN,8357.3335619,0.3298342541436464,0.6701657458563536,0.0,0.0,0.0,NA
native-lib-loader,CNN,8357.3335619,0.926984126984127,0.07301587301587298,0.03571428571428571,0.05,0.041666666666666664,0.8993032786885247
rxjava-slf4j,CNN,8357.3335619,0.6489945155393053,0.3510054844606947,0.5444839857651246,1.0,0.7050691244239631,0.7609867394026727
bigbash,CNN,8357.3335619,0.7732846026880452,0.22671539731195478,0.4467323187108326,0.9559386973180076,0.6089078706528371,0.8429985311791119
lucene-skos,CNN,8357.3335619,0.2792727272727273,0.7207272727272727,0.0,0.0,0.0,NA
sample.swagger,CNN,8357.3335619,1.0,0.0,0.0,0.0,0.0,NA
BKCommonLib,CNN,8357.3335619,0.9175028771023037,0.08249712289769628,0.42450704225352115,1.0,0.5960055368795729,0.9535510196744976
scribejava,CNN,8357.3335619,0.8967674661105318,0.10323253388946818,0.7875536480686696,1.0,0.8811524609843938,0.9221822299138375
flex-poker,CNN,8357.3335619,0.8654993021190204,0.13450069788097962,0.7893626991565136,0.9543909348441927,0.8640677096691459,0.9012665838923422
geometrycommands,CNN,8357.3335619,0.7869205892921308,0.21307941070786918,0.7844420210832425,1.0,0.8792014666938276,0.46015310472659865
regex-builder,CNN,8357.3335619,0.9771359807460891,0.022864019253910906,0.9506493506493506,1.0,0.9747003994673767,0.9788376226570303
fixture-factory,CNN,8357.3335619,0.7833840800347978,0.21661591996520224,0.7635135135135135,0.9949685534591195,0.86400873839432,0.6947490042667944
pengyifan-commons,CNN,8357.3335619,0.8991609695463021,0.10083903045369791,0.7868525896414342,0.9970551114850652,0.8795694934125069,0.9386246283390665
opencv,CNN,8357.3335619,0.9546059637912673,0.045394036208732724,0.17632850241545894,1.0,0.29979466119096515,0.9882183310100232
pentaho-osgi-bundles,CNN,8357.3335619,0.8081819170928082,0.19181808290719182,0.7803573757662711,0.986967997360607,0.8715856945152596,0.7560996421446271
getdown,CNN,8357.3335619,0.9861751152073732,0.01382488479262678,0.7537796976241901,1.0,0.8596059113300492,0.9933457375456858
Cache,CNN,8357.3335619,0.9205298013245033,0.07947019867549665,0.8536585365853658,1.0,0.9210526315789475,0.938800705467372
dropwizard-api-key-bundle,CNN,8357.3335619,0.9642857142857143,0.0357142857142857,0.9032258064516129,1.0,0.9491525423728813,0.9709821428571428
java-oembed,CNN,8357.3335619,0.8841698841698842,0.11583011583011582,0.8818897637795275,1.0,0.9372384937238494,0.6488998724489796
softlayer-java,CNN,8357.3335619,0.9929795522324167,0.00702044776758326,0.7309612983770287,0.950487012987013,0.8263937896965421,0.9971329773909513
Mambu-APIs-Java,CNN,8357.3335619,0.9876490428008171,0.012350957199182888,0.6392961876832844,0.9688888888888889,0.7703180212014135,0.9958608266049653
smtp-connection-pool,CNN,8357.3335619,0.6965811965811965,0.30341880341880345,0.0,0.0,0.0,NA
combinatoricslib,CNN,8357.3335619,0.8516794146990356,0.14832058530096437,0.8085015027908974,1.0,0.8941120607787274,0.7830984005609282
exec-maven-plugin,CNN,8357.3335619,0.9597560975609756,0.040243902439024426,0.8490853658536586,1.0,0.9183841714756802,0.965029231931817
samskivert,CNN,8357.3335619,0.9706484641638226,0.029351535836177445,0.7027122226135963,0.9920437593237196,0.8226804123711341,0.9846654259427959
my-bank,CNN,8357.3335619,0.8664259927797834,0.13357400722021662,0.8514056224899599,1.0,0.9197396963123645,0.6873004354136429
asciidoclet,CNN,8357.3335619,0.8603491271820449,0.13965087281795507,0.8461538461538461,0.9898132427843803,0.9123630672926448,0.8028487848426155
HAP-Java,CNN,8357.3335619,0.9754601226993865,0.024539877300613466,0.4453125,0.8142857142857143,0.5757575757575757,0.9866494823399088
ninjaframework-sample,CNN,8357.3335619,1.0,0.0,1.0,1.0,1.0,1.0
sample-spring-hibernate-jersey,CNN,8357.3335619,0.8035087719298246,0.19649122807017538,0.37777777777777777,1.0,0.5483870967741935,0.9107686899460979
route-service-example,CNN,8357.3335619,0.8679245283018868,0.13207547169811318,1.0,0.7083333333333334,0.8292682926829268,0.9899425287356323
JCDP,CNN,8357.3335619,0.5190839694656488,0.48091603053435117,0.0,0.0,0.0,NA
ofx4j,CNN,8357.3335619,0.9002672903441363,0.09973270965586367,0.6522767593140154,0.9919064748201439,0.7870139136639316,0.9585870593635882
anomaly_detection,CNN,8357.3335619,0.6092896174863388,0.3907103825136612,0.5949008498583569,1.0,0.7460035523978684,0.6171855921855922
jackson-module-jsonSchema,CNN,8357.3335619,0.8163704900376952,0.18362950996230476,0.7232142857142857,1.0,0.839378238341969,0.8371912127950776
config-magic,CNN,8357.3335619,0.8274874731567645,0.17251252684323548,0.777264325323475,1.0,0.87467498699948,0.7910236614513384
dd-plist,CNN,8357.3335619,0.8300557194362504,0.16994428056374955,0.7248104008667389,0.9922135706340378,0.8376897793081859,0.8346216522736689
retrofit1-okhttp3-client,CNN,8357.3335619,0.9076923076923077,0.09230769230769231,0.905511811023622,1.0,0.9504132231404958,0.36550724637681165
gae-java-mini-profiler,CNN,8357.3335619,0.9157088122605364,0.08429118773946365,0.7349397590361446,1.0,0.8472222222222222,0.9490437158469944
solr-redis,CNN,8357.3335619,0.8930232558139535,0.10697674418604652,0.8571428571428571,0.9940298507462687,0.9205252246026261,0.8978017320803391
ruian2pgsql,CNN,8357.3335619,0.9762952448545067,0.023704755145493306,0.8701399688958009,1.0,0.9305613305613305,0.9879381450761356
highchart-java-api,CNN,8357.3335619,0.8781818181818182,0.12181818181818183,0.0,0.0,0.0,NA
